SERIAL_NUM,PASS_FAIL,"TO_CHAR(PROCESS_DATE,'YYYYMMDDHH24MI')",SYSTEM_ID,STEP_NAME,CYCLE_TIME
156232070,P,201508221043,CYBOND38,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1351.59
156205470,P,201508221044,CYBOND57,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1403.38
156239698,P,201508221053,CYBOND56,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1395.86
156236058,P,201508221057,CYBOND63,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1209.88
156230050,P,201508221104,CYBOND38,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1272.69
156189384,P,201508221107,CYBOND57,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1362.98
156211882,P,201508221122,CYBOND58,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",3206.76
156239728,P,201508221128,CYBOND56,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1474.58
156230268,P,201508221129,CYBOND38,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1492.45
156236304,P,201508221147,CYBOND58,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1461.08
156189404,P,201508221152,CYBOND57,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1700.69
156237280,P,201508221153,CYBOND56,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1481.53
156236316,P,201508221214,CYBOND58,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1645.44
156189442,P,201508221255,CYBOND57,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1274.48
156189492,P,201508221334,CYBOND57,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1775.22
156189472,P,201508221358,CYBOND57,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1409.28
156249530,P,201508221643,CYBOND38,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1237.56
156248510,P,201508221646,CYBOND55,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1260.67
156244764,P,201508221651,CYBOND63,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1385.28
156236312,P,201508221654,CYBOND58,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",2346.31
156249312,P,201508221658,CYBOND3,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1813.73
156248152,P,201508221659,CYBOND57,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1667.69
156221458,P,201508221700,CYBOND56,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1992.83
156249548,P,201508221700,CYBOND38,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1023.3
156241800,P,201508221701,CYBOND59,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1607.77
156250260,P,201508221703,CYBOND55,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1030.53
156244784,P,201508221707,CYBOND63,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",955.75
156251258,P,201508221713,CYBOND14,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",2213.94
156247340,P,201508221717,CYBOND60,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1616.11
156249556,P,201508221717,CYBOND38,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1019.97
156241848,P,201508221719,CYBOND59,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1097
156236344,P,201508221720,CYBOND58,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1567.44
156248170,P,201508221720,CYBOND57,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1283.67
156250270,P,201508221721,CYBOND55,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1059.67
156247778,P,201508221725,CYBOND3,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1601.31
156244808,P,201508221725,CYBOND63,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1079.38
156243996,P,201508221730,CYBOND56,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1434.27
