SERIAL_NUM,PASS_FAIL,PROCESS_DATE,SYSTEM_ID,STEP_NAME,CYCLE_TIME
154004859,P,201510050459,LIV 9,1625L0157,44
153907657,F,201510050500,LIV 6,1625L0149,209
153907650,F,201510050526,LIV 6,1625L0149,200
153907603,F,201510050538,LIV 7,1655L038,197
153902145,P,201510051400,LIV 6,1656L021,196
153908133,P,201510051400,LIV 8,1656L021,234
153708994,P,201510051400,LIV 3,T1611L0,192
153909420,P,201510051400,LIV 7,1655L051,209
153804911,P,201510051401,LIV 9,1626L3161,190
153806639,P,201510051402,LIV 6,1655L040,52
153907058,P,201510051403,LIV 2,T1610L0,340
153909232,P,201510051403,LIV 5,1656L0T,201
153912208,P,201510051403,LIV 9,1625L0151,44
153907239,P,201510051404,LIV 8,1656L021,184
153906650,P,201510051405,LIV 3,T1610L0,200
153911420,P,201510051405,LIV 7,1656L0T,204
153806639,P,201510051406,LIV 6,1655L040,204
153912208,P,201510051407,LIV 9,1625L0151,191
153909947,F,201510051407,LIV 7,T165X,30
153905843,P,201510051407,LIV 6,1655L3T,52
153907054,P,201510051408,LIV 2,T1610L0,219
153907233,P,201510051408,LIV 8,1656L021,182
153912207,P,201510051408,LIV 9,1625L0151,44
153909239,P,201510051409,LIV 5,1656L0T,223
153905843,P,201510051411,LIV 6,1655L3T,192
153912207,P,201510051412,LIV 9,1625L0151,197
153907234,F,201510051412,LIV 8,T165X,183
153909947,P,201510051413,LIV 7,1655L0T,254
153907063,P,201510051413,LIV 2,T1610L0,236
153909229,P,201510051413,LIV 5,1656L0T,217
153906623,P,201510051413,LIV 3,T1610L0,193
153905425,P,201510051415,LIV 6,1655L057,51
153904172,P,201510051417,LIV 9,1625L0149,193
153906388,F,201510051417,LIV 7,1655L050,195
153804140,P,201510051417,LIV 8,1626L4B41,183
153705616,P,201510051418,LIV 3,T1611L0,205
153904452,P,201510051418,LIV 9,1626L0159,44
153907061,F,201510051418,LIV 2,1610L0,274
153909241,P,201510051418,LIV 5,1656L0T,209
153905425,F,201510051418,LIV 6,1655L057,196
153807320,P,201510051420,LIV 6,1655L056,56
153906392,P,201510051421,LIV 7,1655L050,192
153907238,P,201510051421,LIV 8,1656L021,205
153906628,P,201510051422,LIV 3,T1610L0,197
153904452,P,201510051422,LIV 9,1626L0159,188
153909235,P,201510051423,LIV 5,1656L0T,220
153907088,P,201510050703,LIV 9,1656L021,43
153907543,P,201510050736,LIV 8,1655L038,193
153911506,P,201510050741,LIV 6,1655L043,44
153909396,P,201510050741,LIV 5,1655L051,228
154004947,P,201510050758,LIV 6,1625L0157,44
153905425,P,201510051424,LIV 9,1655L057,44
153907061,P,201510051424,LIV 3,T1610L0,97
153807320,P,201510051424,LIV 6,1655L056,203
153908099,P,201510051425,LIV 7,1626L4B58,195
