SERIAL_NUM,CARRIER_SITE,PASS_FAIL,PROCESS_DATE,SYSTEM_ID,STEP_NAME,CYCLE_TIME,CHANNEL
156294890,8,P,201509010853,CYTEST1202,POST-PURGE,18,3
156294890,8,P,201509010853,CYTEST1202,POST-PURGE,17,4
156290956,10,P,201509010856,CYTEST1202,POST-PURGE,24,1
156290956,10,P,201509010857,CYTEST1202,POST-PURGE,17,2
156290956,10,P,201509010857,CYTEST1202,POST-PURGE,18,3
156290956,10,P,201509010857,CYTEST1202,POST-PURGE,18,4
156290996,12,P,201509010900,CYTEST1202,POST-PURGE,24,1
156290996,12,P,201509010900,CYTEST1202,POST-PURGE,17,2
156290996,12,P,201509010901,CYTEST1202,POST-PURGE,18,3
156290996,12,P,201509010901,CYTEST1202,POST-PURGE,18,4
156296588,2,P,201509010903,CYTEST1202,POST-PURGE,24,1
156296588,2,P,201509010904,CYTEST1202,POST-PURGE,18,2
156296588,2,P,201509010904,CYTEST1202,POST-PURGE,18,3
156296588,2,P,201509010905,CYTEST1202,POST-PURGE,17,4
156296752,4,P,201509010908,CYTEST1202,POST-PURGE,24,1
156296752,4,P,201509010909,CYTEST1202,POST-PURGE,17,2
156296752,4,P,201509010909,CYTEST1202,POST-PURGE,18,3
156296752,4,P,201509010909,CYTEST1202,POST-PURGE,18,4
156295460,6,P,201509010912,CYTEST1202,POST-PURGE,24,1
156295460,6,P,201509010912,CYTEST1202,POST-PURGE,17,2
156295460,6,P,201509010913,CYTEST1202,POST-PURGE,17,3
156295460,6,P,201509010913,CYTEST1202,POST-PURGE,17,4
156295484,8,P,201509010915,CYTEST1202,POST-PURGE,24,1
156295484,8,P,201509010916,CYTEST1202,POST-PURGE,18,2
156295484,8,P,201509010916,CYTEST1202,POST-PURGE,17,3
156295484,8,P,201509010917,CYTEST1202,POST-PURGE,18,4
156295522,10,P,201509010919,CYTEST1202,POST-PURGE,24,1
156295522,10,P,201509010920,CYTEST1202,POST-PURGE,18,2
156295522,10,P,201509010920,CYTEST1202,POST-PURGE,18,3
156295522,10,P,201509010920,CYTEST1202,POST-PURGE,17,4
156295548,12,P,201509010923,CYTEST1202,POST-PURGE,24,1
156295548,12,P,201509010923,CYTEST1202,POST-PURGE,18,2
156295548,12,F,201509010924,CYTEST1202,POST-PURGE,18,3
156295548,12,P,201509010924,CYTEST1202,POST-PURGE,18,4
156296800,1,P,201509010927,CYTEST1202,POST-PURGE,23,1
156296800,1,P,201509010927,CYTEST1202,POST-PURGE,18,3
156296800,1,P,201509010927,CYTEST1202,POST-PURGE,18,2
156296800,1,P,201509010928,CYTEST1202,POST-PURGE,18,4
156296838,3,P,201509010930,CYTEST1202,POST-PURGE,24,1
156296838,3,P,201509010931,CYTEST1202,POST-PURGE,18,3
156296838,3,P,201509010931,CYTEST1202,POST-PURGE,17,2
156296838,3,P,201509010931,CYTEST1202,POST-PURGE,18,4
156296754,6,P,201509010935,CYTEST1202,POST-PURGE,24,1
156296754,6,P,201509010935,CYTEST1202,POST-PURGE,18,2
156296754,6,P,201509010936,CYTEST1202,POST-PURGE,17,3
156296754,6,P,201509010936,CYTEST1202,POST-PURGE,18,4
156296810,9,P,201509010938,CYTEST1202,POST-PURGE,24,1
156296810,9,P,201509010939,CYTEST1202,POST-PURGE,18,2
156296810,9,P,201509010939,CYTEST1202,POST-PURGE,18,3
156296810,9,P,201509010939,CYTEST1202,POST-PURGE,17,4
156296850,10,P,201509010942,CYTEST1202,POST-PURGE,24,1
156296850,10,P,201509010942,CYTEST1202,POST-PURGE,18,2
156296850,10,P,201509010943,CYTEST1202,POST-PURGE,18,3
156296850,10,P,201509010943,CYTEST1202,POST-PURGE,17,4
156296880,12,P,201509010946,CYTEST1202,POST-PURGE,23,1
156296880,12,P,201509010946,CYTEST1202,POST-PURGE,18,2
156296880,12,P,201509010946,CYTEST1202,POST-PURGE,18,3
156296880,12,P,201509010947,CYTEST1202,POST-PURGE,18,4
156295650,4,P,201509010952,CYTEST1202,POST-PURGE,24,1
156295650,4,P,201509010953,CYTEST1202,POST-PURGE,18,2
156295650,4,P,201509010953,CYTEST1202,POST-PURGE,18,3
156295650,4,P,201509010954,CYTEST1202,POST-PURGE,17,4
156296458,6,P,201509010956,CYTEST1202,POST-PURGE,24,1
156296458,6,P,201509010957,CYTEST1202,POST-PURGE,18,2
156296458,6,P,201509010957,CYTEST1202,POST-PURGE,18,3
156296458,6,P,201509010957,CYTEST1202,POST-PURGE,17,4
156296514,8,P,201509011000,CYTEST1202,POST-PURGE,24,1
156296514,8,P,201509011001,CYTEST1202,POST-PURGE,17,2
156296514,8,P,201509011001,CYTEST1202,POST-PURGE,18,3
156296514,8,P,201509011001,CYTEST1202,POST-PURGE,18,4
156296770,11,P,201509011007,CYTEST1202,POST-PURGE,23,1
156296770,11,P,201509011008,CYTEST1202,POST-PURGE,17,3
156296770,11,P,201509011008,CYTEST1202,POST-PURGE,18,2
156296770,11,P,201509011008,CYTEST1202,POST-PURGE,18,4
156291086,2,P,201509011023,CYTEST1202,POST-PURGE,23,1
156291086,2,P,201509011023,CYTEST1202,POST-PURGE,18,2
156291086,2,P,201509011023,CYTEST1202,POST-PURGE,18,3
156291086,2,P,201509011024,CYTEST1202,POST-PURGE,18,4
156291174,4,P,201509011027,CYTEST1202,POST-PURGE,24,1
156291174,4,P,201509011027,CYTEST1202,POST-PURGE,18,2
156291174,4,P,201509011027,CYTEST1202,POST-PURGE,18,3
156291174,4,P,201509011028,CYTEST1202,POST-PURGE,17,4
